Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.9,180260224,214,842337.5,580544.0,105504,3312448,723605.4,"void mul_mat_q<(ggml_type)12, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
19.8,74544448,90,828271.6,711472.0,248576,1607776,524572.1,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
8.9,33379232,35,953692.3,375008.0,129760,3379104,1024179.5,"void mul_mat_q<(ggml_type)14, (int)40, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
6.2,23256352,20,1162817.6,81984.0,80032,10811232,3297596.6,"void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
4.9,18492480,19,973288.4,868640.0,864096,1203136,155435.9,"void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
3.2,12203936,91,134109.2,72608.0,53536,269184,87065.2,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
1.5,5712064,144,39667.1,18160.0,8576,222240,45136.6,"void rms_norm_mul_rope_f32<(int)256, (bool)0, float>(const float *, T3 *, int, long, long, long, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int, bool)"
1.0,3856672,214,18021.8,15200.0,10048,42112,8511.7,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
1.0,3833696,36,106491.6,84928.0,83424,219136,40660.9,"void flash_attn_ext_f16<(int)128, (int)128, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.9,3531552,35,100901.5,85984.0,83744,184512,30309.1,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
0.9,3400800,146,23293.2,15312.0,8640,73856,14652.5,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.8,3088960,144,21451.1,17616.0,5760,76992,17499.9,"void k_set_rows_quant<long, block_q8_0, (int)32, &quantize_f32_q8_0_block>(const float *, const T1 *, T2 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.6,2154944,72,29929.8,25152.0,4480,61152,11363.3,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.5,2055232,36,57089.8,59168.0,47872,66304,8609.6,"void flash_attn_ext_vec<(int)128, (int)1, (ggml_type)8, (ggml_type)8, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
0.4,1384768,220,6294.4,6320.0,3680,10080,1532.7,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.4,1319776,144,9165.1,7248.0,3136,32960,5781.2,"void fwht_cuda<(int)64>(const float *, float *, long, float)"
0.3,1194208,144,8293.1,6448.0,4384,29952,4904.5,"void fwht_cuda<(int)128>(const float *, float *, long, float)"
0.3,1148096,35,32802.7,33120.0,16608,76832,17902.7,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long, long, long, long, long, int, int, int)"
0.3,1051072,72,14598.2,12304.0,10464,32448,5681.1,"void dequantize_block_q8_0_f16<(bool)0>(const void *, __half *, long)"
0.1,194976,36,5416.0,5696.0,4128,7968,970.5,"void flash_attn_combine_results<(int)128>(const float *, const float2 *, float *, int)"
0.0,29152,4,7288.0,7248.0,6528,8128,880.0,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"

