08-18-2026 13:53:05 RAM 3924/15643MB (lfb 48x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@1190,0%@1190,0%@1190,0%@1190,99%@1984,1%@1984,0%@1984,0%@1984] GR3D_FREQ 0% cv0@62.5C cpu@63.687C soc2@61.343C soc0@63.125C cv1@62.187C gpu@60.718C tj@64.75C soc1@64.75C cv2@61.156C VDD_IN 6583mW/6583mW VDD_CPU_GPU_CV 2025mW/2025mW VDD_SOC 1582mW/1582mW
08-18-2026 13:53:06 RAM 4898/15643MB (lfb 3x4MB) SWAP 1240/7821MB (cached 1MB) CPU [7%@729,0%@729,1%@729,0%@729,51%@1267,2%@1267,17%@1267,5%@1267] GR3D_FREQ 10% cv0@62C cpu@63.875C soc2@61.125C soc0@63.093C cv1@61.781C gpu@60.875C tj@64.625C soc1@64.625C cv2@61.093C VDD_IN 6746mW/6665mW VDD_CPU_GPU_CV 1904mW/1965mW VDD_SOC 1704mW/1643mW
08-18-2026 13:53:07 RAM 4897/15643MB (lfb 3x4MB) SWAP 1240/7821MB (cached 1MB) CPU [9%@729,1%@729,4%@729,0%@729,6%@1984,2%@1984,49%@1984,4%@1984] GR3D_FREQ 10% cv0@61.875C cpu@63.562C soc2@61.031C soc0@62.968C cv1@61.75C gpu@60.875C tj@64.656C soc1@64.656C cv2@61C VDD_IN 6705mW/6678mW VDD_CPU_GPU_CV 1863mW/1931mW VDD_SOC 1704mW/1663mW
08-18-2026 13:53:08 RAM 4901/15643MB (lfb 1x4MB) SWAP 1240/7821MB (cached 1MB) CPU [9%@1984,1%@1984,2%@1984,0%@1984,9%@1984,4%@1984,31%@1984,23%@1984] GR3D_FREQ 10% cv0@61.875C cpu@63.812C soc2@61C soc0@62.875C cv1@61.812C gpu@60.781C tj@64.625C soc1@64.625C cv2@60.906C VDD_IN 6868mW/6726mW VDD_CPU_GPU_CV 1985mW/1944mW VDD_SOC 1704mW/1674mW
08-18-2026 13:53:09 RAM 5436/15643MB (lfb 1x4MB) SWAP 1240/7821MB (cached 1MB) CPU [7%@729,1%@729,0%@729,0%@729,9%@729,8%@729,3%@729,68%@729] GR3D_FREQ 99% cv0@61.812C cpu@63.656C soc2@61.093C soc0@62.968C cv1@61.656C gpu@63.031C tj@64.531C soc1@64.531C cv2@60.843C VDD_IN 9170mW/7214mW VDD_CPU_GPU_CV 3761mW/2308mW VDD_SOC 1904mW/1720mW
08-18-2026 13:53:10 RAM 5456/15643MB (lfb 6x4MB) SWAP 1240/7821MB (cached 1MB) CPU [2%@729,5%@729,0%@729,3%@729,1%@729,8%@729,1%@729,0%@729] GR3D_FREQ 99% cv0@62C cpu@64.156C soc2@61.531C soc0@63.281C cv1@61.687C gpu@64.937C tj@64.937C soc1@64.656C cv2@61.062C VDD_IN 14861mW/8489mW VDD_CPU_GPU_CV 7475mW/3169mW VDD_SOC 3271mW/1978mW
08-18-2026 13:53:11 RAM 5457/15643MB (lfb 6x4MB) SWAP 1240/7821MB (cached 1MB) CPU [3%@729,1%@729,0%@729,0%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@62.156C cpu@64.656C soc2@61.937C soc0@63.406C cv1@62.031C gpu@65.281C tj@65.281C soc1@64.906C cv2@61.406C VDD_IN 15870mW/9543mW VDD_CPU_GPU_CV 7998mW/3859mW VDD_SOC 3628mW/2214mW
08-18-2026 13:53:12 RAM 5516/15643MB (lfb 1x4MB) SWAP 1240/7821MB (cached 1MB) CPU [9%@729,0%@729,0%@729,0%@729,17%@1958,5%@1958,11%@1958,2%@1958] GR3D_FREQ 55% cv0@62.562C cpu@64.718C soc2@61.968C soc0@63.562C cv1@62.312C gpu@64C tj@64.968C soc1@64.968C cv2@61.375C VDD_IN 14538mW/10168mW VDD_CPU_GPU_CV 6883mW/4237mW VDD_SOC 3553mW/2381mW
08-18-2026 13:53:13 RAM 5519/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@1984,1%@1984,1%@1984,0%@1984,1%@729,0%@729,4%@729,5%@729] GR3D_FREQ 97% cv0@62.656C cpu@65.375C soc2@62.5C soc0@63.812C cv1@62.5C gpu@66.062C tj@66.062C soc1@65.125C cv2@61.593C VDD_IN 18184mW/11058mW VDD_CPU_GPU_CV 8145mW/4671mW VDD_SOC 4709mW/2640mW
08-18-2026 13:53:14 RAM 5519/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@62.843C cpu@65.75C soc2@62.656C soc0@64.031C cv1@62.531C gpu@66.281C tj@66.281C soc1@65.093C cv2@61.843C VDD_IN 18426mW/11795mW VDD_CPU_GPU_CV 8213mW/5025mW VDD_SOC 4830mW/2859mW
08-18-2026 13:53:15 RAM 5519/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 97% cv0@62.937C cpu@65.718C soc2@62.812C soc0@64C cv1@62.843C gpu@66.125C tj@66.125C soc1@65.343C cv2@62.031C VDD_IN 18506mW/12405mW VDD_CPU_GPU_CV 8213mW/5315mW VDD_SOC 4830mW/3038mW
08-18-2026 13:53:16 RAM 5527/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [0%@1958,0%@1958,1%@1958,11%@1958,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@63.093C cpu@65.937C soc2@63.093C soc0@64.062C cv1@63.062C gpu@66.875C tj@66.875C soc1@65.375C cv2@62.062C VDD_IN 19081mW/12962mW VDD_CPU_GPU_CV 8774mW/5603mW VDD_SOC 4830mW/3187mW
