08-18-2026 16:28:33 RAM 5098/15643MB (lfb 156x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@1984,99%@1984,0%@1984,0%@1984,0%@1190,0%@1190,0%@1190,2%@1190] GR3D_FREQ 0% cv0@57.656C cpu@59.218C soc2@56.531C soc0@58.375C cv1@57.093C gpu@56.187C tj@60.156C soc1@60.156C cv2@56.437C VDD_IN 6543mW/6543mW VDD_CPU_GPU_CV 1904mW/1904mW VDD_SOC 1582mW/1582mW
08-18-2026 16:28:34 RAM 9145/15643MB (lfb 59x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@1984,100%@1984,0%@1984,0%@1984,0%@729,0%@729,1%@729,4%@729] GR3D_FREQ 0% cv0@57.718C cpu@58.843C soc2@56.625C soc0@58.406C cv1@57.25C gpu@56.343C tj@60.312C soc1@60.312C cv2@56.343C VDD_IN 6705mW/6624mW VDD_CPU_GPU_CV 1944mW/1924mW VDD_SOC 1663mW/1623mW
08-18-2026 16:28:35 RAM 12394/15643MB (lfb 8x4MB) SWAP 1173/7821MB (cached 2MB) CPU [5%@1984,100%@1984,2%@1984,0%@1984,7%@729,0%@729,0%@729,2%@729] GR3D_FREQ 0% cv0@58.468C cpu@58.906C soc2@56.687C soc0@58.5C cv1@57.375C gpu@56.406C tj@60.343C soc1@60.343C cv2@56.406C VDD_IN 7071mW/6773mW VDD_CPU_GPU_CV 2187mW/2012mW VDD_SOC 1663mW/1636mW
08-18-2026 16:28:36 RAM 12719/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [6%@1984,82%@1984,12%@1984,0%@1984,1%@729,1%@729,1%@729,6%@729] GR3D_FREQ 10% cv0@57.968C cpu@59.312C soc2@56.593C soc0@58.5C cv1@57.125C gpu@56.187C tj@60.468C soc1@60.468C cv2@56.406C VDD_IN 7019mW/6835mW VDD_CPU_GPU_CV 2228mW/2066mW VDD_SOC 1663mW/1643mW
08-18-2026 16:28:37 RAM 12719/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@1984,21%@1984,48%@1984,23%@1984,4%@1984,2%@1984,1%@1984,7%@1984] GR3D_FREQ 9% cv0@57.718C cpu@58.937C soc2@56.531C soc0@58.281C cv1@57.093C gpu@56.218C tj@60.312C soc1@60.281C cv2@56.468C VDD_IN 6979mW/6863mW VDD_CPU_GPU_CV 2106mW/2074mW VDD_SOC 1704mW/1655mW
08-18-2026 16:28:38 RAM 12718/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [8%@1267,23%@1267,45%@1267,14%@1267,2%@729,2%@729,1%@729,2%@729] GR3D_FREQ 9% cv0@57.437C cpu@58.812C soc2@56.531C soc0@58.281C cv1@57.156C gpu@56.468C tj@60.343C soc1@60.343C cv2@56.25C VDD_IN 6949mW/6878mW VDD_CPU_GPU_CV 2066mW/2073mW VDD_SOC 1704mW/1663mW
08-18-2026 16:28:39 RAM 12726/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [13%@729,6%@729,11%@729,27%@729,1%@1420,8%@1420,11%@1420,54%@1420] GR3D_FREQ 9% cv0@57.437C cpu@59.343C soc2@56.531C soc0@58.406C cv1@57.25C gpu@56.375C tj@60.406C soc1@60.406C cv2@56.25C VDD_IN 6938mW/6886mW VDD_CPU_GPU_CV 2106mW/2077mW VDD_SOC 1704mW/1669mW
08-18-2026 16:28:40 RAM 12722/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [8%@729,2%@729,1%@729,28%@729,0%@1267,3%@1267,23%@1267,43%@1267] GR3D_FREQ 14% cv0@57.406C cpu@59.437C soc2@56.312C soc0@58.468C cv1@57.062C gpu@56.031C tj@60.156C soc1@60.156C cv2@56.187C VDD_IN 6949mW/6894mW VDD_CPU_GPU_CV 2066mW/2076mW VDD_SOC 1704mW/1673mW
08-18-2026 16:28:41 RAM 12722/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@1984,1%@1984,0%@1984,25%@1984,0%@1984,2%@1984,14%@1984,54%@1984] GR3D_FREQ 9% cv0@57.312C cpu@59.062C soc2@56.5C soc0@58.281C cv1@57.156C gpu@56.093C tj@60.156C soc1@60.156C cv2@56.406C VDD_IN 6949mW/6900mW VDD_CPU_GPU_CV 2066mW/2075mW VDD_SOC 1704mW/1677mW
08-18-2026 16:28:42 RAM 12722/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@729,2%@729,0%@729,24%@729,1%@1984,2%@1984,0%@1984,68%@1984] GR3D_FREQ 9% cv0@57.343C cpu@59.156C soc2@56.468C soc0@58.281C cv1@57.187C gpu@56.062C tj@60.187C soc1@60.187C cv2@56.062C VDD_IN 6949mW/6905mW VDD_CPU_GPU_CV 2066mW/2074mW VDD_SOC 1704mW/1680mW
08-18-2026 16:28:43 RAM 12723/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@1984,3%@1984,24%@1984,5%@1984,0%@1984,7%@1984,14%@1984,51%@1984] GR3D_FREQ 10% cv0@57.375C cpu@59.125C soc2@56.468C soc0@58.312C cv1@57.281C gpu@56.375C tj@60.312C soc1@60.312C cv2@56.187C VDD_IN 6868mW/6902mW VDD_CPU_GPU_CV 2025mW/2069mW VDD_SOC 1704mW/1682mW
